file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,3,1,2,40,251353,0,8388608,0,1048576,714
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,3,1,2,40,250899,0,8388608,0,1048576,699
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,3,1,2,40,250897,0,8388608,0,1048576,702
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,3,1,2,40,249959,0,8388608,0,1048576,703
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,3,1,2,40,250567,0,8388608,0,1048576,701
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,3,1,2,40,250614,0,8388608,0,1048576,701
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,3,1,2,40,249253,0,8388608,0,1048576,701
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,3,1,2,40,250770,0,8388608,0,1048576,698
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,3,1,2,40,251359,0,8388608,0,1048576,702
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,3,1,2,40,249268,0,8388608,0,1048576,700
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,3,1,2,40,249669,0,8388608,0,1048576,707
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,3,1,2,40,251157,0,8388608,0,1048576,705
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,3,1,2,40,250667,0,8388608,0,1048576,698
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,3,1,2,40,250631,0,8388608,0,1048576,701
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,3,1,2,40,250441,0,8388608,0,1048576,712
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,3,1,2,40,40690,0,1366536,0,170817,193
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,4,1,2,212,788565,0,8388608,0,1048576,839
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,4,1,2,215,788565,0,8388608,0,1048576,834
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,4,1,2,211,788565,0,8388608,0,1048576,838
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,4,1,2,215,788565,0,8388608,0,1048576,836
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,4,1,2,214,788565,0,8388608,0,1048576,838
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,4,1,2,218,788565,0,8388608,0,1048576,836
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,4,1,2,214,788565,0,8388608,0,1048576,837
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,4,1,2,213,788565,0,8388608,0,1048576,838
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,4,1,2,211,788565,0,8388608,0,1048576,836
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,4,1,2,215,788565,0,8388608,0,1048576,836
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,4,1,2,214,788565,0,8388608,0,1048576,834
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,4,1,2,211,788565,0,8388608,0,1048576,837
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,4,1,2,208,788565,0,8388608,0,1048576,838
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,4,1,2,211,788565,0,8388608,0,1048576,833
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,4,1,2,212,788565,0,8388608,0,1048576,835
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,4,1,2,214,788565,0,8388608,0,1048576,834
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,4,1,2,215,788565,0,8388608,0,1048576,841
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,4,1,2,213,128475,0,1366536,0,170817,217
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,5,1,9,5974424,320560,7249920,1138688,906240,142336,6740
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,5,1,9,5974598,320546,7249920,1138688,906240,142336,6755
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,5,1,9,5975313,320550,7249920,1138688,906240,142336,6800
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,5,1,9,5974304,320555,7249920,1138688,906240,142336,6798
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,5,1,9,5973097,320549,7249920,1138688,906240,142336,6796
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,5,1,9,5975124,320565,7249920,1138688,906240,142336,6857
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,5,1,9,5974520,320546,7249920,1138688,906240,142336,6842
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,5,1,9,5974211,320555,7249920,1138688,906240,142336,6847
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,5,1,9,5974950,320560,7249920,1138688,906240,142336,6848
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,5,1,9,5973689,320563,7249920,1138688,906240,142336,6856
